InsightLoop – Feature List,,,,,,,,
MVP feature inventory. “Must/Should” items marked MVP are required for the initial product unless explicitly re-scoped.,,,,,,,,
,,,,,,,,
ID,Module,Feature,Description,Priority,Scope,Primary Actors,Permission Scope,Notes / Business Rules
F-022,Coverage,100% template coverage gate,Ensure every required template question/criterion is assigned to at least one selected participant before launch.,Must,MVP,System,Launch is blocked until coverage reaches 100%; gaps cannot be accepted.,
F-023,Coverage,Coverage remediation,Explain uncovered items and recommend participant/context changes to reach full coverage.,Must,MVP,System,Recommendations are advisory; gate remains enforced.,
F-024,Questionnaire,Role-adaptive questionnaire,Generate participant-specific questions from the single selected template using assigned functions and coverage needs.,Must,MVP,System / AI,Do not invent unrelated evaluation criteria.,
F-025,Questionnaire,Independent response collection,Collect each participant response privately without exposing peers’ answers.,Must,MVP,Participant,"Project Owner sees completion status during collection, not peer answers.",
F-026,Questionnaire,Save and resume,Allow participants to save drafts and resume until submission/closure.,Should,MVP,Participant,Access only to own questionnaire.,
F-027,Questionnaire,Adaptive follow-ups,"Ask contextual follow-ups for material risk, ambiguity, contradiction, missing rationale, or insufficient evidence.",Must,MVP,System / AI,Maximum 3 follow-ups per template question and 10 per participant questionnaire.,
F-028,Questionnaire,Follow-up stop logic,"Stop when evidence is sufficient, scope is exhausted, or either follow-up cap is reached.",Must,MVP,System / AI,Follow-ups do not count toward mandatory template coverage.,
F-029,Questionnaire,Submission and reopen,Submit a questionnaire and allow authorized reopening with audit history before collection closes.,Should,MVP,Participant submits; Project Owner/Unit Admin reopens,Project review,Reopen invalidates prior collection-complete state until resubmitted.
F-030,Questionnaire,Reminders and due dates,Send in-app/email reminders based on configurable due-date policy.,Should,MVP,System; Project Owner,Project review,"Timing is configuration, not hard-coded in PRD."
F-031,Analysis,Completion gate,Begin consolidated analysis only after all required questionnaires are submitted or an authorized participant change restores completeness.,Must,MVP,System,No partial official analysis.,
F-032,Analysis,Cross-participant analysis,"Identify agreements, disagreements, complementary evidence, blind spots, risks, and inconsistencies.",Must,MVP,System / AI,"Analyze collectively, not as isolated summaries.",
F-033,Analysis,Evidence traceability,Link findings to relevant source responses while protecting participant visibility.,Must,MVP,Project Owner; Unit Admin,Project review,Authorized reviewers can inspect evidence after collection closes.
F-034,Analysis,Health scoring,"Calculate project health scores from configured criteria and disclose basis, confidence, and limitations.",Must,MVP,System / AI,Thresholds and weights are versioned configuration.,
F-035,Report,Draft report generation,Generate one consolidated project health report using the bound report-template version.,Must,MVP,System / AI,Report is a draft until approved.,
F-036,Report,Human review and editing,"Allow Project Owner and Unit Admin to edit narrative, findings, actions, and context with audit history.",Must,MVP,Project Owner; Unit Admin,Project review,AI content must never auto-publish.
F-037,Report,Mandatory Unit Admin approval,Require Unit Admin approval before finalization or distribution.,Must,MVP,Unit Admin,Department,Project Owner may submit for approval but cannot self-bypass.
F-038,Report,Return for revision,Allow Unit Admin to reject/return a draft with comments.,Must,MVP,Unit Admin,Department,Returns report to revision state.
F-039,Report,Final report lock,Lock the approved report as an immutable final version; corrections create a new revision.,Must,MVP,System; Unit Admin,Project,Preserve prior final revisions.
F-040,Distribution,In-app report access,Publish final reports in-app to selected authorized recipients.,Must,MVP,System,Department and project authorization still applies.,
F-041,Distribution,PDF export,"Generate a branded, readable PDF of the final report.",Must,MVP,Authorized recipients,Project report,Export only approved final content.
F-042,Distribution,Email delivery,Email final-report notifications or PDF to selected internal recipients.,Must,MVP,System; Unit Admin/Project Owner initiates,Project report,Internal directory recipients only; log delivery outcome.
F-043,History & Reporting,Project review history,"Show monthly, quarterly, recurring, and ad-hoc review history per project.",Must,MVP,Authorized project viewers,Project,"No account-, department-, or company-level aggregate report in MVP."
F-044,History & Reporting,Status dashboard,"Show review state, participant completion, due dates, approval state, and distribution outcome.",Must,MVP,Project Owner; Unit Admin; Admin,Scoped,Do not expose raw answers during collection.
F-045,History & Reporting,Search and filters,"Filter projects/reviews by department, account, project, period, owner, and status within scope.",Should,MVP,Admin; Unit Admin; Project Owner,Scoped,Results respect isolation.
F-046,Notifications,Workflow notifications,"Notify assignees for launch, reminders, submission completion, approval request, return, approval, and publication.",Should,MVP,System,Use in-app and email where configured.,
F-047,Governance,AI output labeling,"Clearly label AI-generated questions, analysis, score explanations, and report drafts.",Must,MVP,System,Preserve human edits and provenance.,
F-048,Governance,Retention and access logging,Apply configurable retention and log access to sensitive responses and reports.,Should,MVP,Admin,Company / Department,Policy values set during implementation.
F-049,Future,Period-over-period trends,Compare health indicators across review periods.,Could,Post-MVP,Authorized project viewers,Project,Still project-level; no portfolio aggregation.
F-050,Future,Integrations,"Connect HRIS, SSO, project tools, or BI platforms.",Could,Post-MVP,Admin,Company,Not required for MVP beyond standard identity/email services.
